id	modality	theme	title	publication_date	journal	doi	pmid	evidence_type	concrete_content	decision_changed	constraints	skill_action	writing_requirement	jif_value	jif_year	jif_source
ST01	imaging spatial transcriptomics	platform-benchmark	Comparison of imaging based single-cell resolution spatial transcriptomics profiling platforms using formalin-fixed paraffin-embedded tumor samples	2025-09-26	Nature Communications	10.1038/s41467-025-63414-1	41006245	benchmark	Compares CosMx, MERFISH and uni- or multimodal Xenium on serial FFPE lung adenocarcinoma and mesothelioma TMA sections against bulk RNA-seq, multiplex immunofluorescence, GeoMx, H&E and manual pathology phenotyping.	Makes sample format, probe design, segmentation and pathology usability part of platform selection rather than selecting by advertised resolution alone.	Serial sections are not same-cell truth; only two tumour types, TMA format and time-specific product versions were tested.	Build a platform-version passport; match platform to tissue, panel and estimand; require orthogonal concordance and manual pathology review.	Methods: platform, chemistry, panel, section order and references; Results: matched performance and failure modes; Figure legend: platform and serial-section identity; Discussion: tissue and version limits.	18.1	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics
ST02	subcellular spatial transcriptomics	platform-benchmark	Systematic benchmarking of high-throughput subcellular spatial transcriptomics platforms across human tumors	2025-10-17	Nature Communications	10.1038/s41467-025-64292-3	41107232	benchmark	Profiles serial colon, liver and ovarian tumour sections with Stereo-seq v1.3, Visium HD FFPE, CosMx 6K and Xenium 5K, with CODEX, same-sample scRNA-seq and manual nuclear annotation as orthogonal references.	Requires platform comparison to cover sensitivity, specificity, diffusion, segmentation, annotation and spatial clustering with matched biological material.	Gene panels, chemistry and software differ; adjacent sections do not provide cell-by-cell ground truth and the tumour set is limited.	Select platforms against the full assay contract; record panel and software versions; report metric-specific trade-offs rather than one winner.	Methods: serial-section allocation and all reference assays; Results: metric-by-platform comparison; Figure legend: section and platform; Discussion: panel, tissue and adjacency limits.	18.1	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics
ST03	imaging spatial transcriptomics	platform-benchmark	Systematic benchmarking of imaging spatial transcriptomics platforms in FFPE tissues	2025-11-20	Nature Communications	10.1038/s41467-025-64990-y	41266321	benchmark	Benchmarks Xenium, MERSCOPE and CosMx on serial FFPE TMAs containing 17 tumour and 16 normal tissue types, comparing matched-gene counts, specificity, cell typing, subclustering and segmentation errors.	Makes FFPE tissue breadth, matched genes, false discovery and segmentation error explicit platform-choice criteria.	TMA cores do not represent whole sections; results are platform-version and panel specific and do not cover sequencing-based assays.	Use tissue- and panel-matched benchmarks; preserve full-section morphology checks; avoid extrapolating a global platform rank.	Methods: TMA design, matched gene universe and segmentation; Results: sensitivity, specificity and FDR; Figure legend: tissue, panel and platform; Discussion: TMA and product-version limits.	18.1	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics
ST04	imaging spatial transcriptomics	reproducibility-metrics	Standardized metrics for assessment and reproducibility of imaging-based spatial transcriptomics datasets	2025-12-03	Nature Biotechnology	10.1038/s41587-025-02811-9	41339526	benchmark	Creates the multisite Spatial Touchstone dataset across six tissues and introduces STSOPs and SpatialQM for sensitivity, dynamic range, signal-to-noise, FDR, annotation and cross-site reproducibility.	Requires prespecified, reproducible technical metrics and cross-site controls before biological interpretation of imaging spatial data.	Core evaluation centres on Xenium and CosMx; technical reproducibility does not establish biological validity for a new panel or tissue.	Adopt a spatial QC passport with positive and negative controls; compare against touchstones; separate technical PASS from biological interpretation.	Methods: SOP, sites, controls and metrics; Results: cross-site reproducibility with uncertainty; Figure legend: site, tissue and platform; Discussion: platform coverage and biological-validity boundary.	44.5	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics
ST05	high-resolution spatial transcriptomics	segmentation-free-analysis	FICTURE: scalable segmentation-free analysis of submicron-resolution spatial transcriptomics	2024-09-12	Nature Methods	10.1038/s41592-024-02415-2	39266749	primary	Uses a multilayer Dirichlet factor model to infer pixel-level spatial factors from billions of submicron transcript coordinates across sequencing- and imaging-based platforms.	Creates a segmentation-free route for irregular, fibrotic, vascular, muscular or lipid-rich regions where cell boundaries are unreliable.	Factors are not cells; factor number, mixed pixels and biological labels remain model dependent.	Use segmentation-free analysis as a sensitivity path; annotate factors with orthogonal morphology and markers; never call factors observed cell types.	Methods: binning, factor count and priors; Results: factor stability and orthogonal support; Figure legend: inferred factor versus cell; Discussion: non-cellular and model-dependent boundary.	28.3	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics
ST06	sequencing-based spatial transcriptomics	spatial-QC	SpotSweeper: spatially aware quality control for spatial transcriptomics	2025-06-06	Nature Methods	10.1038/s41592-025-02713-3	40481362	primary	Uses local spatial neighbourhoods to distinguish local outliers and regional artifacts, including systematic low-quality barcodes, dryspots and hangnails.	Prevents direct reuse of dissociated scRNA-seq QC thresholds and makes local and regional artifact detection mandatory.	True rare biological regions can resemble artifacts; removal decisions depend on tissue morphology and replicated context.	Run global and spatial QC; overlay flags on histology; preserve pre- and post-filter maps; require sensitivity analysis for removed regions.	Methods: neighbourhood, thresholds and artifact rules; Results: flagged area and sensitivity; Figure legend: retained and removed spots; Discussion: possible removal of true spatial biology.	28.3	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics
ST07	imaging spatial transcriptomics	cell-segmentation	Cell simulation as cell segmentation	2025-05-22	Nature Methods	10.1038/s41592-025-02697-0	40404994	primary	Introduces Proseg, a probabilistic cell-simulation segmentation method, and benchmarks it across MERSCOPE, CosMx and Xenium tumour datasets, including difficult tumour-infiltrating immune cells.	Makes segmentation algorithm choice and alternative-boundary sensitivity a prerequisite for cell-level state and neighbourhood claims.	Morphologically plausible boundaries are not cell-by-cell truth and demonstrations are tumour weighted.	Compare at least two defensible segmentations or a segmentation-free path; quantify transcript reassignment and downstream stability.	Methods: image channels, segmentation model and alternatives; Results: boundary and downstream stability; Figure legend: boundary source; Discussion: absence of definitive cell truth.	28.3	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics
ST08	imaging spatial transcriptomics	segmentation-error-propagation	Impact and correction of segmentation errors in spatial transcriptomics	2026-01-20	Nature Genetics	10.1038/s41588-025-02497-4	41559218	primary	Reanalysis across tissues and platforms shows misassigned molecules can dominate differential expression, neighbour influence and ligand-receptor findings; local matrix factorization reduces admixture.	Requires segmentation uncertainty to propagate into every cell-level downstream result instead of remaining a QC checkbox.	Correction reduces admixture but cannot restore lost molecules or establish the true originating cell.	Audit molecule reassignment; repeat DE, neighbourhood and CCC after correction or alternative segmentation; downgrade unstable claims.	Methods: segmentation and correction; Results: downstream before-after sensitivity; Figure legend: corrected status; Discussion: residual assignment uncertainty.	25.5	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics
ST09	high-resolution spatial transcriptomics	cell-assignment	Accurate, scalable and cross-platform cell identification for high-resolution spatial transcriptomics	2026-05-20	Nature Genetics	10.1038/s41588-026-02610-1	42162410	primary	Cellist combines image and expression information for scalable cell segmentation and identification across Stereo-seq, Seq-Scope, seqFISH+, STARmap and Xenium.	Supports cross-platform multimodal cell assignment but still requires tissue-specific validation of within-cell coherence and annotations.	Performance depends on image quality, transcript density and morphology; tested-platform compatibility does not guarantee transfer to every tissue.	Validate cell boundaries, within-cell transcriptomic coherence and cell-type calls; retain an unresolved label when evidence conflicts.	Methods: image and expression inputs, model and versions; Results: coherence and annotation gains; Figure legend: inferred boundary and label; Discussion: new-tissue transfer limits.	25.5	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics
ST10	spatial transcriptomics plus histology	histology-associated-gradient	Inferring histology-associated gene expression gradients in spatial transcriptomic studies	2024-08-23	Nature Communications	10.1038/s41467-024-50904-x	39179527	primary	Spatial Gradient Screening detects supervised histology-associated expression patterns without prior clustering and contrasts them with conventional differential expression.	Adds a continuous, cluster-free gradient estimand when tissue structure is directional or graded.	Results depend on the chosen histological variable, coordinate and direction and show association rather than a driving mechanism.	Predefine the histological axis; compare gradient and grouped analyses; assess rotation or coordinate sensitivity; validate with pathology.	Methods: histology variable, coordinate and model; Results: gradient effect and uncertainty; Figure legend: axis and scale; Discussion: association and axis dependence.	18.1	2025	https://www.nature.com/nature-portfolio/about-journals/journal-metrics
