ontology_version	raw_concern_code	canonical_concern_family	family_definition
1.0.0	NOVELTY_CONTRIBUTION	CONTRIBUTION_CLAIM_CALIBRATION	Contribution, novelty, reporting clarity and claim scope.
1.0.0	NOVELTY_POSITIONING	CONTRIBUTION_CLAIM_CALIBRATION	Contribution, novelty, reporting clarity and claim scope.
1.0.0	CLAIM_CALIBRATION	CONTRIBUTION_CLAIM_CALIBRATION	Contribution, novelty, reporting clarity and claim scope.
1.0.0	CLAIM_SCOPE	CONTRIBUTION_CLAIM_CALIBRATION	Contribution, novelty, reporting clarity and claim scope.
1.0.0	REPORTING_CLARITY	CONTRIBUTION_CLAIM_CALIBRATION	Contribution, novelty, reporting clarity and claim scope.
1.0.0	FIGURE_CLARITY	CONTRIBUTION_CLAIM_CALIBRATION	Contribution, novelty, reporting clarity and claim scope.
1.0.0	COHORT_REPRESENTATIVENESS	COHORT_LABEL_UNIT_LEAKAGE	Cohort provenance, labels, independent units, sample size and leakage.
1.0.0	COHORT_SAMPLE_SIZE	COHORT_LABEL_UNIT_LEAKAGE	Cohort provenance, labels, independent units, sample size and leakage.
1.0.0	REPLICATION_UNIT	COHORT_LABEL_UNIT_LEAKAGE	Cohort provenance, labels, independent units, sample size and leakage.
1.0.0	DATA_LEAKAGE_SPLIT	COHORT_LABEL_UNIT_LEAKAGE	Cohort provenance, labels, independent units, sample size and leakage.
1.0.0	DATA_OVERLAP_LEAKAGE	COHORT_LABEL_UNIT_LEAKAGE	Cohort provenance, labels, independent units, sample size and leakage.
1.0.0	LABEL_REFERENCE_STANDARD	COHORT_LABEL_UNIT_LEAKAGE	Cohort provenance, labels, independent units, sample size and leakage.
1.0.0	HUMAN_READER_VALIDATION	COHORT_LABEL_UNIT_LEAKAGE	Cohort provenance, labels, independent units, sample size and leakage.
1.0.0	BENCHMARK_FAIRNESS	COMPARATOR_CONTROL_ABLATION	Applicable comparators, controls, baselines and component or modality ablations.
