record_id	title	journal	publication_date	doi	venue_tier	venue_selection_basis	journal_metric_note	primary_stratum	secondary_modalities	study_content	article_url	review_file_url	review_material_type	review_rounds	reviewer_count	review_file_sha256	review_pages	review_text_chars	extraction_method	access_status	post_publication_status	concern_codes	concern_ontology_version	canonical_concern_families	decisive_concern	request_class	governing_criterion	author_action	minimum_repair	stronger_optional_route	closure_evidence	closure_status	author_response_strategy	manuscript_change	portable_skill_rule	review_locator	response_locator	verification_note
TPR001	A fully open AI foundation model applied to chest radiography	Nature	2025-06-11	10.1038/s41586-025-09079-8	1-main-journal	Nature flagship; selected for venue standing, scope relevance and an official full peer-review file.	2025 JIF 56.1; official Nature Portfolio metrics: https://www.nature.com/nature-portfolio/about-journals/journal-metrics (checked 2026-08-22).	imaging-ai	chest radiography|radiology labels|federated learning	Ark+ uses cyclic pretraining across heterogeneous public chest-radiograph datasets and claims broad diagnostic, transfer, robustness and federated capabilities.	https://www.nature.com/articles/s41586-025-09079-8	https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-025-09079-8/MediaObjects/41586_2025_9079_MOESM3_ESM.pdf	official transparent peer-review PDF: reviewer reports and author response; decision letters where included	NR:round labels not consistently recoverable	2	9ea63cbe37a49bfa380335c048e3bbbb5df52f4f7d0e2212fbbc99a8ce0cbcc6	11	37569	full-PDF download; SHA-256; pypdf page text extraction; regex anchors	VERIFIED_TEXT	NO_NOTICE_SIGNAL_FOUND as screened 2026-08-22: No targeted post-publication notice signal was found in the checked official page/status metadata and linked correction records as of the checked date; this one-time screen does not establish absence of undisclosed or future concerns.	COMPARATOR_FAIRNESS;DATA_OVERLAP_LEAKAGE;REPORTING_TRANSPARENCY	1.0.0	COMPARATOR_CONTROL_ABLATION;COHORT_LABEL_UNIT_LEAKAGE;REPRODUCIBILITY_OPENNESS	Referee 1 suggested adding RAD-DINO as a recent chest-radiograph foundation-model comparator to better contextualize Ark+ performance.	optional-strengthening	Incremental value must be separated from simpler baselines, controls and component or modality effects under matched, fair comparisons.	The authors added RAD-DINO comparisons on ChestX-ray14, ChestDR and COVIDxCXR-3 under linear-probing and fine-tuning, and explicitly noted the ChestX-ray14 overlap concern.	No mandatory repair follows from the review wording; if the optional comparison is undertaken, evaluate RAD-DINO under matched transfer settings and disclose any pretraining-test overlap.	Optional extension, not a recorded requirement: test the locked pipeline in an independent site, scanner or clinically shifted cohort.	Documented same-issue repair: The authors added RAD-DINO comparisons on ChestX-ray14, ChestDR and COVIDxCXR-3 under linear-probing and fine-tuning, and explicitly noted the ChestX-ray14 overlap concern.	analysis-or-evidence-added	accept_optional_suggestion|matched_comparator_evaluation|overlap_disclosure	The revised article or supplement incorporates the documented analysis, experiment, clarification or claim calibration identified in the response.	Do not convert a reviewer's 'worth doing' comparator suggestion into a mandatory experiment; if authors adopt it, require matched evaluation settings and disclosure of data overlap.	reviewer report p.1, Referee 1, Suggested improvements	author response p.5, Referee 1 Comment 1	Imaging subcorpus: official article DOI matched; full official review PDF downloaded, hashed and text-extracted; concern and same-issue response manually audited.
TPR002	Foundation models for fast, label-free detection of glioma infiltration	Nature	2024-11-13	10.1038/s41586-024-08169-3	1-main-journal	Nature flagship; selected for venue standing, scope relevance and an official full peer-review file.	2025 JIF 56.1; official Nature Portfolio metrics: https://www.nature.com/nature-portfolio/about-journals/journal-metrics (checked 2026-08-22).	digital-pathology	stimulated Raman histology|intraoperative microscopy|glioma	FastGlioma adapts a histology foundation model to rapid label-free stimulated Raman histology for intraoperative detection of glioma infiltration.	https://www.nature.com/articles/s41586-024-08169-3	https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-024-08169-3/MediaObjects/41586_2024_8169_MOESM3_ESM.pdf	official transparent peer-review PDF: reviewer reports and author response; decision letters where included	NR:round labels not consistently recoverable	3	d74531d6292b0134a052cd764706e5d2cec83461df75df16b0f8a07b833dd1f2	21	54156	full-PDF download; SHA-256; pypdf page text extraction; regex anchors	VERIFIED_TEXT	NO_NOTICE_SIGNAL_FOUND as screened 2026-08-22: No targeted post-publication notice signal was found in the checked official page/status metadata and linked correction records as of the checked date; this one-time screen does not establish absence of undisclosed or future concerns.	COMPARATOR_FAIRNESS;NOVELTY_CONTRIBUTION;EXTERNAL_VALIDATION	1.0.0	COMPARATOR_CONTROL_ABLATION;CONTRIBUTION_CLAIM_CALIBRATION;EXTERNAL_VALIDATION_ROBUSTNESS	The reviewer found that the claimed need for foundation-model pretraining was not demonstrated without a same-task fully supervised control.	manuscript-grounded-defect	Incremental value must be separated from simpler baselines, controls and component or modality effects under matched, fair comparisons.	The authors performed the requested fully supervised control and reported mean AUC 84.7% +/- 1.1% versus 92.1% +/- 0.9% for FastGlioma.	Train an ordinal infiltration classifier without foundation pretraining on the same task and data, then compare its performance with FastGlioma with uncertainty.	Optional extension, not a recorded requirement: test slide-, laboratory- and population-shift robustness with patient-level separation.	Documented same-issue repair: The authors performed the requested fully supervised control and reported mean AUC 84.7% +/- 1.1% versus 92.1% +/- 0.9% for FastGlioma.	experiment-or-analysis-added	same_task_supervised_control|quantitative_performance_comparison	The revised article or supplement incorporates the documented analysis, experiment, clarification or claim calibration identified in the response.	When foundation pretraining is presented as necessary, compare it with a same-task, same-data fully supervised control before attributing incremental value to the foundation model.	reviewer report p.1, Referee 1, major comment 2	author response p.7, Referee 1, major comment 2	Imaging subcorpus: official article DOI matched; full official review PDF downloaded, hashed and text-extracted; concern and same-issue response manually audited.
TPR003	Study design features increase replicability in brain-wide association studies	Nature	2024-11-27	10.1038/s41586-024-08260-9	1-main-journal	Nature flagship; selected for venue standing, scope relevance and an official full peer-review file.	2025 JIF 56.1; official Nature Portfolio metrics: https://www.nature.com/nature-portfolio/about-journals/journal-metrics (checked 2026-08-22).	imaging-ai	structural MRI|functional connectivity|longitudinal phenotyping	This brain-wide association study evaluates how sampling variability and longitudinal designs change effect sizes, power and replicability across brain and non-brain measures.	https://www.nature.com/articles/s41586-024-08260-9	https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-024-08260-9/MediaObjects/41586_2024_8260_MOESM3_ESM.pdf	official transparent peer-review PDF: reviewer reports and author response; decision letters where included	NR:round labels not consistently recoverable	5	1d905874070709450a0564ccf9849369250e51976763cb546c2f9b34c009c9e7	136	290088	full-PDF download; SHA-256; pypdf page text extraction; regex anchors	VERIFIED_TEXT	NO_NOTICE_SIGNAL_FOUND as screened 2026-08-22: No targeted post-publication notice signal was found in the checked official page/status metadata and linked correction records as of the checked date; this one-time screen does not establish absence of undisclosed or future concerns.	STATISTICAL_INFERENCE;COHORT_REPRESENTATIVENESS;ROBUSTNESS_OOD;CLAIM_CALIBRATION;REPORTING_CLARITY	1.0.0	STATISTICAL_INFERENCE_CONFOUNDING;COHORT_LABEL_UNIT_LEAKAGE;EXTERNAL_VALIDATION_ROBUSTNESS;CONTRIBUTION_CLAIM_CALIBRATION	The reviewer warned that an age-based longitudinal-design prescription might not generalize because benefit depends on the relative within-subject and between-subject association for each brain–phenotype pair.	manuscript-grounded-defect	The estimand, biological unit, hierarchy, uncertainty, multiplicity, confounding and sensitivity analyses must support the stated inference.	The authors fitted distinct within-subject and between-subject effects, added longitudinal functional-connectivity analyses, and showed that greater within-subject sampling helped only when the within-subject association was strong.	Estimate within-subject and between-subject effects separately and test an outcome, such as functional connectivity, whose state variability differs from structural volume.	Optional extension, not a recorded requirement: test the locked pipeline in an independent site, scanner or clinically shifted cohort.	Documented same-issue repair: The authors fitted distinct within-subject and between-subject effects, added longitudinal functional-connectivity analyses, and showed that greater within-subject sampling helped only when the within-subject association was strong.	experiment-or-analysis-added	separate_within_between_effects|functional_connectivity_validation	The revised article or supplement incorporates the documented analysis, experiment, clarification or claim calibration identified in the response.	Do not turn a design effect observed for age and structural volume into a universal prescription; first estimate whether the target brain–phenotype pair has a strong within-subject association.	reviewer report p.2, Referee 1 generalizability comment	author response p.16, Referee 1 comment 3	Imaging subcorpus: official article DOI matched; full official review PDF downloaded, hashed and text-extracted; concern and same-issue response manually audited.
TPR004	Longer scans boost prediction and cut costs in brain-wide association studies	Nature	2025-07-16	10.1038/s41586-025-09250-1	1-main-journal	Nature flagship; selected for venue standing, scope relevance and an official full peer-review file.	2025 JIF 56.1; official Nature Portfolio metrics: https://www.nature.com/nature-portfolio/about-journals/journal-metrics (checked 2026-08-22).	imaging-ai	fMRI|behavioral prediction|study-cost design	The study models the trade-off among fMRI scan duration, sample size, prediction accuracy and study cost across population and clinical datasets.	https://www.nature.com/articles/s41586-025-09250-1	https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-025-09250-1/MediaObjects/41586_2025_9250_MOESM3_ESM.pdf	official transparent peer-review PDF: reviewer reports and author response; decision letters where included	NR:round labels not consistently recoverable	3	1c4a22158786e969a3854a373649fbff663b9e2b9852153084cfe8775f3f4ba0	104	231500	full-PDF download; SHA-256; pypdf page text extraction; regex anchors	VERIFIED_TEXT	NO_NOTICE_SIGNAL_FOUND as screened 2026-08-22: No targeted post-publication notice signal was found in the checked official page/status metadata and linked correction records as of the checked date; this one-time screen does not establish absence of undisclosed or future concerns.	EXTERNAL_VALIDATION;ROBUSTNESS_OOD;STATISTICAL_INFERENCE;CLAIM_CALIBRATION;COHORT_REPRESENTATIVENESS	1.0.0	EXTERNAL_VALIDATION_ROBUSTNESS;STATISTICAL_INFERENCE_CONFOUNDING;CONTRIBUTION_CLAIM_CALIBRATION;COHORT_LABEL_UNIT_LEAKAGE	Referee 1 found that a scan-time recommendation derived from two similarly acquired public datasets, one parcellation and one analysis type could not support a general-purpose claim.	manuscript-grounded-defect	Generalization and utility claims must match an explicitly shifted independent validation setting and expose robustness and failure boundaries.	The authors added TCP, MDD, ADNI and SINGER cohorts spanning clinical and older populations and different acquisition settings, and expanded task and resolution analyses before restating the recommendation.	Test the scan-time finding in datasets that vary in population and acquisition protocol, and state the limits of the recommended range.	Optional extension, not a recorded requirement: test the locked pipeline in an independent site, scanner or clinically shifted cohort.	Documented same-issue repair: The authors added TCP, MDD, ADNI and SINGER cohorts spanning clinical and older populations and different acquisition settings, and expanded task and resolution analyses before restating the recommendation.	experiment-or-analysis-added	cross_dataset_protocol_validation|recommendation_scope_revision	The revised article or supplement incorporates the documented analysis, experiment, clarification or claim calibration identified in the response.	A scan-time recommendation is transportable only after sensitivity testing across populations, acquisition protocols and analysis resolutions represented in the intended use domain.	reviewer report p.1, Referee 1 major concern	author response p.7, Editor comment E1C1	Imaging subcorpus: official article DOI matched; full official review PDF downloaded, hashed and text-extracted; concern and same-issue response manually audited.
TPR005	Comprehensive echocardiogram evaluation with view primed vision language AI	Nature	2025-11-11	10.1038/s41586-025-09850-x	1-main-journal	Nature flagship; selected for venue standing, scope relevance and an official full peer-review file.	2025 JIF 56.1; official Nature Portfolio metrics: https://www.nature.com/nature-portfolio/about-journals/journal-metrics (checked 2026-08-22).	imaging-ai	echocardiography video|clinical reports|multi-view aggregation	EchoPrime aggregates multiple echocardiographic views with report supervision to perform broad zero-shot and quantitative cardiac assessment.	https://www.nature.com/articles/s41586-025-09850-x	https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-025-09850-x/MediaObjects/41586_2025_9850_MOESM4_ESM.pdf	official transparent peer-review PDF: reviewer reports and author response; decision letters where included	NR:round labels not consistently recoverable	4	23b9c42beca282132e0dcb2e48f3c93309a83c72444b9bf1dd58ebe39c5a1211	145	372847	full-PDF download; SHA-256; pypdf page text extraction; regex anchors	VERIFIED_TEXT	NO_NOTICE_SIGNAL_FOUND as screened 2026-08-22: No targeted post-publication notice signal was found in the checked official page/status metadata and linked correction records as of the checked date; this one-time screen does not establish absence of undisclosed or future concerns.	CLINICAL_WORKFLOW_UTILITY;COHORT_REPRESENTATIVENESS;ROBUSTNESS_OOD;REPORTING_CLARITY;CLAIM_CALIBRATION	1.0.0	CLINICAL_ETHICS_FEASIBILITY;COHORT_LABEL_UNIT_LEAKAGE;EXTERNAL_VALIDATION_ROBUSTNESS;CONTRIBUTION_CLAIM_CALIBRATION	The reviewer noted that EchoPrime depends on high-quality multi-view studies acquired by skilled operators, which could limit feasibility in resource-constrained settings.	clarification-needed	The claimed use must be tested at its intended decision point with workflow, burden, risk, privacy and feasibility boundaries visible.	The authors evaluated examinations described as technically difficult and 2,172 single-view A4C studies, and reported task-level performance for both strata alongside the full-study results.	Report performance separately for technically difficult examinations and a limited-view setting instead of assuming complete expert acquisition.	Optional extension, not a recorded requirement: test the locked pipeline in an independent site, scanner or clinically shifted cohort.	Documented same-issue repair: The authors evaluated examinations described as technically difficult and 2,172 single-view A4C studies, and reported task-level performance for both strata alongside the full-study results.	analysis-or-evidence-added	acquisition_quality_stratification|limited_view_analysis	The revised article or supplement incorporates the documented analysis, experiment, clarification or claim calibration identified in the response.	When acquisition expertise is upstream of an imaging model, report technically difficult and incomplete-view strata separately from full-study performance.	reviewer report p.1, clinical utility comment 1	author response pp.15-16, clinical utility comment 1	Imaging subcorpus: official article DOI matched; full official review PDF downloaded, hashed and text-extracted; concern and same-issue response manually audited.
TPR006	Merlin: a computed tomography vision–language foundation model and dataset	Nature	2026-03-04	10.1038/s41586-026-10181-8	1-main-journal	Nature flagship; selected for venue standing, scope relevance and an official full peer-review file.	2025 JIF 56.1; official Nature Portfolio metrics: https://www.nature.com/nature-portfolio/about-journals/journal-metrics (checked 2026-08-22).	imaging-ai	3D CT|radiology reports|EHR phenotypes	Merlin is a 3D CT vision-language model and dataset evaluated for zero-shot findings, few-shot adaptation, disease classification and EHR phenotypes.	https://www.nature.com/articles/s41586-026-10181-8	https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-026-10181-8/MediaObjects/41586_2026_10181_MOESM3_ESM.pdf	official transparent peer-review PDF: reviewer reports and author response; decision letters where included	NR:round labels not consistently recoverable	4	9115f738be5436f4ac2dd4a52f3937c726f7f882faa172ab767fc70f23297148	82	273091	full-PDF download; SHA-256; pypdf page text extraction; regex anchors	VERIFIED_TEXT	NO_NOTICE_SIGNAL_FOUND as screened 2026-08-22: No targeted post-publication notice signal was found in the checked official page/status metadata and linked correction records as of the checked date; this one-time screen does not establish absence of undisclosed or future concerns.	COMPARATOR_FAIRNESS;ABLATION_COMPONENT;CLAIM_CALIBRATION;REPRODUCIBILITY_OPENNESS;ROBUSTNESS_OOD	1.0.0	COMPARATOR_CONTROL_ABLATION;CONTRIBUTION_CLAIM_CALIBRATION;REPRODUCIBILITY_OPENNESS;EXTERNAL_VALIDATION_ROBUSTNESS	The claimed value of 3D vision–language pretraining could not be isolated without matched 3D vision-only and 2D or 2D-to-3D vision–language controls.	manuscript-grounded-defect	Incremental value must be separated from simpler baselines, controls and component or modality effects under matched, fair comparisons.	The authors added Swin-UNETR and 3D ResNet152 vision-only pretraining plus 2D and lifted 2D-to-3D VLM baselines, then compared them with Merlin under matched findings and phenotype tasks.	Train and evaluate matched 3D vision-only, 2D vision–language and lifted 2D-to-3D controls under the same downstream tasks.	Optional extension, not a recorded requirement: test the locked pipeline in an independent site, scanner or clinically shifted cohort.	Documented same-issue repair: The authors added Swin-UNETR and 3D ResNet152 vision-only pretraining plus 2D and lifted 2D-to-3D VLM baselines, then compared them with Merlin under matched findings and phenotype tasks.	experiment-or-analysis-added	matched_paradigm_controls|downstream_task_comparison	The revised article or supplement incorporates the documented analysis, experiment, clarification or claim calibration identified in the response.	Attribute a volumetric vision–language gain only after separating dimensionality from language supervision with matched-data paradigm controls.	reviewer report p.1, Referee 1 major concern 1	author response pp.7-11, Referee 1 comment 1	Imaging subcorpus: official article DOI matched; full official review PDF downloaded, hashed and text-extracted; concern and same-issue response manually audited.
TPR007	AI-enabled virtual spatial proteomics from histopathology for interpretable biomarker discovery in lung cancer	Nature Medicine	2026-01-05	10.1038/s41591-025-04060-4	2-major-specialist	Major Nature research journal; selected for clinical-imaging relevance and an official full peer-review file.	2025 JIF 52.5; official Nature Portfolio metrics: https://www.nature.com/nature-portfolio/about-journals/journal-metrics (checked 2026-08-22).	imaging-mechanism	H&E WSI|spatial proteomics|pan-cancer survival	HEX predicts virtual spatial protein expression from H&E and integrates it with histology for biomarker discovery and outcome prediction across cancers.	https://www.nature.com/articles/s41591-025-04060-4	https://static-content.springer.com/esm/art%3A10.1038%2Fs41591-025-04060-4/MediaObjects/41591_2025_4060_MOESM3_ESM.pdf	official transparent peer-review PDF: reviewer reports and author response; decision letters where included	NR:round labels not consistently recoverable	4	f94149357add24321355f5dc6f0e8fd862ecd8a11cc22205e1a7d40d2fa04c57	49	94529	full-PDF download; SHA-256; pypdf page text extraction; regex anchors	VERIFIED_TEXT	NO_NOTICE_SIGNAL_FOUND as screened 2026-08-22: No targeted post-publication notice signal was found in the checked official page/status metadata and linked correction records as of the checked date; this one-time screen does not establish absence of undisclosed or future concerns.	ORTHOGONAL_VALIDATION;VALIDATION_GROUND_TRUTH;BIOLOGICAL_PLAUSIBILITY	1.0.0	MECHANISM_FUNCTION_PERTURBATION;MEASUREMENT_QC_SPATIAL_TRUTH;INTERPRETABILITY_ALTERNATIVES	Reviewer 4 noted that virtual protein patterns were not validated with an orthogonal assay and could reflect algorithmic artifacts rather than biology.	manuscript-grounded-defect	Mechanistic language requires an intervention or discriminating orthogonal evidence that addresses credible alternatives and causal boundaries.	The revision added paired IHC and H&E validation and reported concordance between HEX-derived protein maps and the IHC measurements.	Validate predicted protein maps against paired orthogonal protein measurements on corresponding histology and report marker-level concordance or error.	Optional extension, not a recorded requirement: validate both the imaging phenotype and the biological bridge in an independent matched cohort or perturbation model.	Documented same-issue repair: The revision added paired IHC and H&E validation and reported concordance between HEX-derived protein maps and the IHC measurements.	experiment-or-analysis-added	orthogonal_paired_assay_validation|marker_level_concordance	The revised article or supplement incorporates the documented analysis, experiment, clarification or claim calibration identified in the response.	Treat virtual protein maps as predictions until they are checked against paired orthogonal protein measurements; downstream outcome prediction alone does not establish molecular fidelity.	reviewer report p.3, Reviewer 4, issue 6	author response summary p.5, item 3	Imaging subcorpus: official article DOI matched; full official review PDF downloaded, hashed and text-extracted; concern and same-issue response manually audited.
TPR008	AI-based chest X-ray prioritization in the lung cancer diagnostic pathway: the LungIMPACT randomized controlled trial	Nature Medicine	2026-03-24	10.1038/s41591-026-04253-5	2-major-specialist	Major Nature research journal; selected for clinical-imaging relevance and an official full peer-review file.	2025 JIF 52.5; official Nature Portfolio metrics: https://www.nature.com/nature-portfolio/about-journals/journal-metrics (checked 2026-08-22).	imaging-ai	chest radiography|AI prioritization|randomized workflow trial	LungIMPACT randomizes the prioritization alert around a chest-X-ray AI system to test whether triage shortens the lung-cancer diagnostic pathway.	https://www.nature.com/articles/s41591-026-04253-5	https://static-content.springer.com/esm/art%3A10.1038%2Fs41591-026-04253-5/MediaObjects/41591_2026_4253_MOESM2_ESM.pdf	official transparent peer-review PDF: reviewer reports and author response; decision letters where included	NR:round labels not consistently recoverable	5	b2aa3b29cadf5da49aa7df95047d33c11337581f06bf3acb954409536c6f47ed	25	48249	full-PDF download; SHA-256; pypdf page text extraction; regex anchors	VERIFIED_TEXT	NO_NOTICE_SIGNAL_FOUND as screened 2026-08-22: No targeted post-publication notice signal was found in the checked official page/status metadata and linked correction records as of the checked date; this one-time screen does not establish absence of undisclosed or future concerns.	CLINICAL_WORKFLOW_UTILITY;STATISTICAL_INFERENCE;CLAIM_CALIBRATION;EXTERNAL_VALIDATION;FAILURE_ANALYSIS	1.0.0	CLINICAL_ETHICS_FEASIBILITY;STATISTICAL_INFERENCE_CONFOUNDING;CONTRIBUTION_CLAIM_CALIBRATION;EXTERNAL_VALIDATION_ROBUSTNESS	Because AI markings were visible to readers in both trial arms, the reviewer said the trial estimated prioritization versus no prioritization, not AI versus no AI.	clarification-needed	The claimed use must be tested at its intended decision point with workflow, burden, risk, privacy and feasibility boundaries visible.	The authors clarified the contrast as AI prioritization versus AI without prioritization, pointed readers to the arm diagram, and added that independent AI and reader effects could not be identified with this design.	Name the exact randomized contrast and acknowledge that the design cannot separate independent AI and radiologist effects.	Optional extension, not a recorded requirement: test the locked pipeline in an independent site, scanner or clinically shifted cohort.	Documented same-issue repair: The authors clarified the contrast as AI prioritization versus AI without prioritization, pointed readers to the arm diagram, and added that independent AI and reader effects could not be identified with this design.	text-or-claim-revised	estimand_clarification|design_limitation_disclosure	The revised article or supplement incorporates the documented analysis, experiment, clarification or claim calibration identified in the response.	Describe the information exposed in every clinical-AI trial arm; a prioritization alert trial cannot be written as AI versus no AI.	reviewer report p.2, Reviewer 4 comment 2	author response p.9, R2.5; p.14, R5.9-R5.10	Imaging subcorpus: official article DOI matched; full official review PDF downloaded, hashed and text-extracted; concern and same-issue response manually audited.
TPR009	A vision–language foundation model for the generation of realistic chest X-ray images	Nature Biomedical Engineering	2024-08-26	10.1038/s41551-024-01246-y	2-major-specialist	Major Nature biomedical-engineering journal; selected for imaging/AI relevance and an official full peer-review file.	2025 JIF 26.3; official Nature Portfolio metrics: https://www.nature.com/nature-portfolio/about-journals/journal-metrics (checked 2026-08-22).	imaging-ai	chest radiography|text-to-image generation|synthetic augmentation	RoentGen fine-tunes a vision-language diffusion model to synthesize chest radiographs from text and evaluates realism, retrieval and downstream augmentation.	https://www.nature.com/articles/s41551-024-01246-y	https://static-content.springer.com/esm/art%3A10.1038%2Fs41551-024-01246-y/MediaObjects/41551_2024_1246_MOESM3_ESM.pdf	official transparent peer-review PDF: reviewer reports and author response; decision letters where included	NR:round labels not consistently recoverable	3	f5fd9c27eb2585d9175808301d71512b3635ebf151347eeb81614bedc63809d0	62	114156	full-PDF download; SHA-256; pypdf page text extraction; regex anchors	VERIFIED_TEXT	NO_NOTICE_SIGNAL_FOUND as screened 2026-08-22: No targeted post-publication notice signal was found in the checked official page/status metadata and linked correction records as of the checked date; this one-time screen does not establish absence of undisclosed or future concerns.	COMPARATOR_FAIRNESS;IMAGE_QUALITY_REALISM;CLINICAL_WORKFLOW_UTILITY;ETHICS_PRIVACY;ABLATION_COMPONENT	1.0.0	COMPARATOR_CONTROL_ABLATION;EXTERNAL_VALIDATION_ROBUSTNESS;CLINICAL_ETHICS_FEASIBILITY	The reviewer said that synthetic-image augmentation had not been compared with strong self-supervised ways of using the same large real chest-radiograph corpus.	manuscript-grounded-defect	Incremental value must be separated from simpler baselines, controls and component or modality effects under matched, fair comparisons.	The authors added a chest-radiograph self-supervised experiment comparing representations learned from RoentGen images with representations learned from real data under the same downstream evaluation.	Compare downstream representations learned from synthetic images with a task-matched self-supervised alternative learned from real data.	Optional extension, not a recorded requirement: test the locked pipeline in an independent site, scanner or clinically shifted cohort.	Documented same-issue repair: The authors added a chest-radiograph self-supervised experiment comparing representations learned from RoentGen images with representations learned from real data under the same downstream evaluation.	experiment-or-analysis-added	matched_self_supervised_baseline|synthetic_versus_real_pretraining	The revised article or supplement incorporates the documented analysis, experiment, clarification or claim calibration identified in the response.	A synthetic-data benefit requires a matched comparison with a simpler real-data self-supervised strategy, not realism scores alone.	reviewer report p.4, Referee 3 self-supervised-baseline comment	author response p.34, self-supervised synthetic-versus-real experiment	Imaging subcorpus: official article DOI matched; full official review PDF downloaded, hashed and text-extracted; concern and same-issue response manually audited.
TPR010	A foundation model for enhancing magnetic resonance images and downstream segmentation, registration and diagnostic tasks	Nature Biomedical Engineering	2024-12-05	10.1038/s41551-024-01283-7	2-major-specialist	Major Nature biomedical-engineering journal; selected for imaging/AI relevance and an official full peer-review file.	2025 JIF 26.3; official Nature Portfolio metrics: https://www.nature.com/nature-portfolio/about-journals/journal-metrics (checked 2026-08-22).	imaging-ai	brain MRI|image enhancement|segmentation and registration	BME-X uses tissue-aware learning to correct motion, denoise, super-resolve and harmonize brain MRI for several downstream tasks.	https://www.nature.com/articles/s41551-024-01283-7	https://static-content.springer.com/esm/art%3A10.1038%2Fs41551-024-01283-7/MediaObjects/41551_2024_1283_MOESM3_ESM.pdf	official transparent peer-review PDF: reviewer reports and author response; decision letters where included	NR:round labels not consistently recoverable	2	e3a12bd3668f04ca21e9bb3ff64f5a82b0ed3285a613355cd207c7c9ca1d4d1f	52	158063	full-PDF download; SHA-256; pypdf page text extraction; regex anchors	VERIFIED_TEXT	NO_NOTICE_SIGNAL_FOUND as screened 2026-08-22: No targeted post-publication notice signal was found in the checked official page/status metadata and linked correction records as of the checked date; this one-time screen does not establish absence of undisclosed or future concerns.	IMAGE_QUALITY_REALISM;EXTERNAL_VALIDATION;ROBUSTNESS_OOD	1.0.0	EXTERNAL_VALIDATION_ROBUSTNESS	The editor required evidence that the enhancement model could handle real motion artifacts rather than only simulated corruptions.	manuscript-grounded-defect	Generalization and utility claims must match an explicitly shifted independent validation setting and expose robustness and failure boundaries.	The authors added 420 in-vivo MR-ART images containing paired motion-free and motion-corrupted scans from the same participants to evaluate real-artifact correction.	Evaluate the model on paired real motion-free and motion-corrupted MR images from the same participants.	Optional extension, not a recorded requirement: test the locked pipeline in an independent site, scanner or clinically shifted cohort.	Documented same-issue repair: The authors added 420 in-vivo MR-ART images containing paired motion-free and motion-corrupted scans from the same participants to evaluate real-artifact correction.	analysis-or-evidence-added	accept-or-partially-accept|paired_real_artifact_evaluation|report-result|anchor-location	The revised article or supplement incorporates the documented analysis, experiment, clarification or claim calibration identified in the response.	Performance on simulated corruption does not establish clinical artifact correction; use paired or otherwise well-controlled real-artifact data for the corresponding claim.	editorial decision p.1, required item 1	author response p.11, Editor Comment 1	Imaging subcorpus: official article DOI matched; full official review PDF downloaded, hashed and text-extracted; concern and same-issue response manually audited.
