record_id	doi	journal	publication_date	primary_stratum	post_publication_status	request_class	concern_codes	concern_ontology_version	canonical_concern_families	governing_criterion	decisive_concern	author_action	closure_evidence	closure_status	author_response_strategy	review_locator	response_locator	portable_skill_rule	review_file_url	review_file_sha256
TPR001	10.1038/s41586-025-09079-8	Nature	2025-06-11	imaging-ai	NO_NOTICE_SIGNAL_FOUND as screened 2026-08-22: No targeted post-publication notice signal was found in the checked official page/status metadata and linked correction records as of the checked date; this one-time screen does not establish absence of undisclosed or future concerns.	optional-strengthening	COMPARATOR_FAIRNESS;DATA_OVERLAP_LEAKAGE;REPORTING_TRANSPARENCY	1.0.0	COMPARATOR_CONTROL_ABLATION;COHORT_LABEL_UNIT_LEAKAGE;REPRODUCIBILITY_OPENNESS	Incremental value must be separated from simpler baselines, controls and component or modality effects under matched, fair comparisons.	Referee 1 suggested adding RAD-DINO as a recent chest-radiograph foundation-model comparator to better contextualize Ark+ performance.	The authors added RAD-DINO comparisons on ChestX-ray14, ChestDR and COVIDxCXR-3 under linear-probing and fine-tuning, and explicitly noted the ChestX-ray14 overlap concern.	Documented same-issue repair: The authors added RAD-DINO comparisons on ChestX-ray14, ChestDR and COVIDxCXR-3 under linear-probing and fine-tuning, and explicitly noted the ChestX-ray14 overlap concern.	analysis-or-evidence-added	accept_optional_suggestion|matched_comparator_evaluation|overlap_disclosure	reviewer report p.1, Referee 1, Suggested improvements	author response p.5, Referee 1 Comment 1	Do not convert a reviewer's 'worth doing' comparator suggestion into a mandatory experiment; if authors adopt it, require matched evaluation settings and disclosure of data overlap.	https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-025-09079-8/MediaObjects/41586_2025_9079_MOESM3_ESM.pdf	9ea63cbe37a49bfa380335c048e3bbbb5df52f4f7d0e2212fbbc99a8ce0cbcc6
TPR002	10.1038/s41586-024-08169-3	Nature	2024-11-13	digital-pathology	NO_NOTICE_SIGNAL_FOUND as screened 2026-08-22: No targeted post-publication notice signal was found in the checked official page/status metadata and linked correction records as of the checked date; this one-time screen does not establish absence of undisclosed or future concerns.	manuscript-grounded-defect	COMPARATOR_FAIRNESS;NOVELTY_CONTRIBUTION;EXTERNAL_VALIDATION	1.0.0	COMPARATOR_CONTROL_ABLATION;CONTRIBUTION_CLAIM_CALIBRATION;EXTERNAL_VALIDATION_ROBUSTNESS	Incremental value must be separated from simpler baselines, controls and component or modality effects under matched, fair comparisons.	The reviewer found that the claimed need for foundation-model pretraining was not demonstrated without a same-task fully supervised control.	The authors performed the requested fully supervised control and reported mean AUC 84.7% +/- 1.1% versus 92.1% +/- 0.9% for FastGlioma.	Documented same-issue repair: The authors performed the requested fully supervised control and reported mean AUC 84.7% +/- 1.1% versus 92.1% +/- 0.9% for FastGlioma.	experiment-or-analysis-added	same_task_supervised_control|quantitative_performance_comparison	reviewer report p.1, Referee 1, major comment 2	author response p.7, Referee 1, major comment 2	When foundation pretraining is presented as necessary, compare it with a same-task, same-data fully supervised control before attributing incremental value to the foundation model.	https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-024-08169-3/MediaObjects/41586_2024_8169_MOESM3_ESM.pdf	d74531d6292b0134a052cd764706e5d2cec83461df75df16b0f8a07b833dd1f2
TPR003	10.1038/s41586-024-08260-9	Nature	2024-11-27	imaging-ai	NO_NOTICE_SIGNAL_FOUND as screened 2026-08-22: No targeted post-publication notice signal was found in the checked official page/status metadata and linked correction records as of the checked date; this one-time screen does not establish absence of undisclosed or future concerns.	manuscript-grounded-defect	STATISTICAL_INFERENCE;COHORT_REPRESENTATIVENESS;ROBUSTNESS_OOD;CLAIM_CALIBRATION;REPORTING_CLARITY	1.0.0	STATISTICAL_INFERENCE_CONFOUNDING;COHORT_LABEL_UNIT_LEAKAGE;EXTERNAL_VALIDATION_ROBUSTNESS;CONTRIBUTION_CLAIM_CALIBRATION	The estimand, biological unit, hierarchy, uncertainty, multiplicity, confounding and sensitivity analyses must support the stated inference.	The reviewer warned that an age-based longitudinal-design prescription might not generalize because benefit depends on the relative within-subject and between-subject association for each brain–phenotype pair.	The authors fitted distinct within-subject and between-subject effects, added longitudinal functional-connectivity analyses, and showed that greater within-subject sampling helped only when the within-subject association was strong.	Documented same-issue repair: The authors fitted distinct within-subject and between-subject effects, added longitudinal functional-connectivity analyses, and showed that greater within-subject sampling helped only when the within-subject association was strong.	experiment-or-analysis-added	separate_within_between_effects|functional_connectivity_validation	reviewer report p.2, Referee 1 generalizability comment	author response p.16, Referee 1 comment 3	Do not turn a design effect observed for age and structural volume into a universal prescription; first estimate whether the target brain–phenotype pair has a strong within-subject association.	https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-024-08260-9/MediaObjects/41586_2024_8260_MOESM3_ESM.pdf	1d905874070709450a0564ccf9849369250e51976763cb546c2f9b34c009c9e7
TPR004	10.1038/s41586-025-09250-1	Nature	2025-07-16	imaging-ai	NO_NOTICE_SIGNAL_FOUND as screened 2026-08-22: No targeted post-publication notice signal was found in the checked official page/status metadata and linked correction records as of the checked date; this one-time screen does not establish absence of undisclosed or future concerns.	manuscript-grounded-defect	EXTERNAL_VALIDATION;ROBUSTNESS_OOD;STATISTICAL_INFERENCE;CLAIM_CALIBRATION;COHORT_REPRESENTATIVENESS	1.0.0	EXTERNAL_VALIDATION_ROBUSTNESS;STATISTICAL_INFERENCE_CONFOUNDING;CONTRIBUTION_CLAIM_CALIBRATION;COHORT_LABEL_UNIT_LEAKAGE	Generalization and utility claims must match an explicitly shifted independent validation setting and expose robustness and failure boundaries.	Referee 1 found that a scan-time recommendation derived from two similarly acquired public datasets, one parcellation and one analysis type could not support a general-purpose claim.	The authors added TCP, MDD, ADNI and SINGER cohorts spanning clinical and older populations and different acquisition settings, and expanded task and resolution analyses before restating the recommendation.	Documented same-issue repair: The authors added TCP, MDD, ADNI and SINGER cohorts spanning clinical and older populations and different acquisition settings, and expanded task and resolution analyses before restating the recommendation.	experiment-or-analysis-added	cross_dataset_protocol_validation|recommendation_scope_revision	reviewer report p.1, Referee 1 major concern	author response p.7, Editor comment E1C1	A scan-time recommendation is transportable only after sensitivity testing across populations, acquisition protocols and analysis resolutions represented in the intended use domain.	https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-025-09250-1/MediaObjects/41586_2025_9250_MOESM3_ESM.pdf	1c4a22158786e969a3854a373649fbff663b9e2b9852153084cfe8775f3f4ba0
TPR005	10.1038/s41586-025-09850-x	Nature	2025-11-11	imaging-ai	NO_NOTICE_SIGNAL_FOUND as screened 2026-08-22: No targeted post-publication notice signal was found in the checked official page/status metadata and linked correction records as of the checked date; this one-time screen does not establish absence of undisclosed or future concerns.	clarification-needed	CLINICAL_WORKFLOW_UTILITY;COHORT_REPRESENTATIVENESS;ROBUSTNESS_OOD;REPORTING_CLARITY;CLAIM_CALIBRATION	1.0.0	CLINICAL_ETHICS_FEASIBILITY;COHORT_LABEL_UNIT_LEAKAGE;EXTERNAL_VALIDATION_ROBUSTNESS;CONTRIBUTION_CLAIM_CALIBRATION	The claimed use must be tested at its intended decision point with workflow, burden, risk, privacy and feasibility boundaries visible.	The reviewer noted that EchoPrime depends on high-quality multi-view studies acquired by skilled operators, which could limit feasibility in resource-constrained settings.	The authors evaluated examinations described as technically difficult and 2,172 single-view A4C studies, and reported task-level performance for both strata alongside the full-study results.	Documented same-issue repair: The authors evaluated examinations described as technically difficult and 2,172 single-view A4C studies, and reported task-level performance for both strata alongside the full-study results.	analysis-or-evidence-added	acquisition_quality_stratification|limited_view_analysis	reviewer report p.1, clinical utility comment 1	author response pp.15-16, clinical utility comment 1	When acquisition expertise is upstream of an imaging model, report technically difficult and incomplete-view strata separately from full-study performance.	https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-025-09850-x/MediaObjects/41586_2025_9850_MOESM4_ESM.pdf	23b9c42beca282132e0dcb2e48f3c93309a83c72444b9bf1dd58ebe39c5a1211
TPR006	10.1038/s41586-026-10181-8	Nature	2026-03-04	imaging-ai	NO_NOTICE_SIGNAL_FOUND as screened 2026-08-22: No targeted post-publication notice signal was found in the checked official page/status metadata and linked correction records as of the checked date; this one-time screen does not establish absence of undisclosed or future concerns.	manuscript-grounded-defect	COMPARATOR_FAIRNESS;ABLATION_COMPONENT;CLAIM_CALIBRATION;REPRODUCIBILITY_OPENNESS;ROBUSTNESS_OOD	1.0.0	COMPARATOR_CONTROL_ABLATION;CONTRIBUTION_CLAIM_CALIBRATION;REPRODUCIBILITY_OPENNESS;EXTERNAL_VALIDATION_ROBUSTNESS	Incremental value must be separated from simpler baselines, controls and component or modality effects under matched, fair comparisons.	The claimed value of 3D vision–language pretraining could not be isolated without matched 3D vision-only and 2D or 2D-to-3D vision–language controls.	The authors added Swin-UNETR and 3D ResNet152 vision-only pretraining plus 2D and lifted 2D-to-3D VLM baselines, then compared them with Merlin under matched findings and phenotype tasks.	Documented same-issue repair: The authors added Swin-UNETR and 3D ResNet152 vision-only pretraining plus 2D and lifted 2D-to-3D VLM baselines, then compared them with Merlin under matched findings and phenotype tasks.	experiment-or-analysis-added	matched_paradigm_controls|downstream_task_comparison	reviewer report p.1, Referee 1 major concern 1	author response pp.7-11, Referee 1 comment 1	Attribute a volumetric vision–language gain only after separating dimensionality from language supervision with matched-data paradigm controls.	https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-026-10181-8/MediaObjects/41586_2026_10181_MOESM3_ESM.pdf	9115f738be5436f4ac2dd4a52f3937c726f7f882faa172ab767fc70f23297148
TPR007	10.1038/s41591-025-04060-4	Nature Medicine	2026-01-05	imaging-mechanism	NO_NOTICE_SIGNAL_FOUND as screened 2026-08-22: No targeted post-publication notice signal was found in the checked official page/status metadata and linked correction records as of the checked date; this one-time screen does not establish absence of undisclosed or future concerns.	manuscript-grounded-defect	ORTHOGONAL_VALIDATION;VALIDATION_GROUND_TRUTH;BIOLOGICAL_PLAUSIBILITY	1.0.0	MECHANISM_FUNCTION_PERTURBATION;MEASUREMENT_QC_SPATIAL_TRUTH;INTERPRETABILITY_ALTERNATIVES	Mechanistic language requires an intervention or discriminating orthogonal evidence that addresses credible alternatives and causal boundaries.	Reviewer 4 noted that virtual protein patterns were not validated with an orthogonal assay and could reflect algorithmic artifacts rather than biology.	The revision added paired IHC and H&E validation and reported concordance between HEX-derived protein maps and the IHC measurements.	Documented same-issue repair: The revision added paired IHC and H&E validation and reported concordance between HEX-derived protein maps and the IHC measurements.	experiment-or-analysis-added	orthogonal_paired_assay_validation|marker_level_concordance	reviewer report p.3, Reviewer 4, issue 6	author response summary p.5, item 3	Treat virtual protein maps as predictions until they are checked against paired orthogonal protein measurements; downstream outcome prediction alone does not establish molecular fidelity.	https://static-content.springer.com/esm/art%3A10.1038%2Fs41591-025-04060-4/MediaObjects/41591_2025_4060_MOESM3_ESM.pdf	f94149357add24321355f5dc6f0e8fd862ecd8a11cc22205e1a7d40d2fa04c57
TPR008	10.1038/s41591-026-04253-5	Nature Medicine	2026-03-24	imaging-ai	NO_NOTICE_SIGNAL_FOUND as screened 2026-08-22: No targeted post-publication notice signal was found in the checked official page/status metadata and linked correction records as of the checked date; this one-time screen does not establish absence of undisclosed or future concerns.	clarification-needed	CLINICAL_WORKFLOW_UTILITY;STATISTICAL_INFERENCE;CLAIM_CALIBRATION;EXTERNAL_VALIDATION;FAILURE_ANALYSIS	1.0.0	CLINICAL_ETHICS_FEASIBILITY;STATISTICAL_INFERENCE_CONFOUNDING;CONTRIBUTION_CLAIM_CALIBRATION;EXTERNAL_VALIDATION_ROBUSTNESS	The claimed use must be tested at its intended decision point with workflow, burden, risk, privacy and feasibility boundaries visible.	Because AI markings were visible to readers in both trial arms, the reviewer said the trial estimated prioritization versus no prioritization, not AI versus no AI.	The authors clarified the contrast as AI prioritization versus AI without prioritization, pointed readers to the arm diagram, and added that independent AI and reader effects could not be identified with this design.	Documented same-issue repair: The authors clarified the contrast as AI prioritization versus AI without prioritization, pointed readers to the arm diagram, and added that independent AI and reader effects could not be identified with this design.	text-or-claim-revised	estimand_clarification|design_limitation_disclosure	reviewer report p.2, Reviewer 4 comment 2	author response p.9, R2.5; p.14, R5.9-R5.10	Describe the information exposed in every clinical-AI trial arm; a prioritization alert trial cannot be written as AI versus no AI.	https://static-content.springer.com/esm/art%3A10.1038%2Fs41591-026-04253-5/MediaObjects/41591_2026_4253_MOESM2_ESM.pdf	b2aa3b29cadf5da49aa7df95047d33c11337581f06bf3acb954409536c6f47ed
TPR009	10.1038/s41551-024-01246-y	Nature Biomedical Engineering	2024-08-26	imaging-ai	NO_NOTICE_SIGNAL_FOUND as screened 2026-08-22: No targeted post-publication notice signal was found in the checked official page/status metadata and linked correction records as of the checked date; this one-time screen does not establish absence of undisclosed or future concerns.	manuscript-grounded-defect	COMPARATOR_FAIRNESS;IMAGE_QUALITY_REALISM;CLINICAL_WORKFLOW_UTILITY;ETHICS_PRIVACY;ABLATION_COMPONENT	1.0.0	COMPARATOR_CONTROL_ABLATION;EXTERNAL_VALIDATION_ROBUSTNESS;CLINICAL_ETHICS_FEASIBILITY	Incremental value must be separated from simpler baselines, controls and component or modality effects under matched, fair comparisons.	The reviewer said that synthetic-image augmentation had not been compared with strong self-supervised ways of using the same large real chest-radiograph corpus.	The authors added a chest-radiograph self-supervised experiment comparing representations learned from RoentGen images with representations learned from real data under the same downstream evaluation.	Documented same-issue repair: The authors added a chest-radiograph self-supervised experiment comparing representations learned from RoentGen images with representations learned from real data under the same downstream evaluation.	experiment-or-analysis-added	matched_self_supervised_baseline|synthetic_versus_real_pretraining	reviewer report p.4, Referee 3 self-supervised-baseline comment	author response p.34, self-supervised synthetic-versus-real experiment	A synthetic-data benefit requires a matched comparison with a simpler real-data self-supervised strategy, not realism scores alone.	https://static-content.springer.com/esm/art%3A10.1038%2Fs41551-024-01246-y/MediaObjects/41551_2024_1246_MOESM3_ESM.pdf	f5fd9c27eb2585d9175808301d71512b3635ebf151347eeb81614bedc63809d0
TPR010	10.1038/s41551-024-01283-7	Nature Biomedical Engineering	2024-12-05	imaging-ai	NO_NOTICE_SIGNAL_FOUND as screened 2026-08-22: No targeted post-publication notice signal was found in the checked official page/status metadata and linked correction records as of the checked date; this one-time screen does not establish absence of undisclosed or future concerns.	manuscript-grounded-defect	IMAGE_QUALITY_REALISM;EXTERNAL_VALIDATION;ROBUSTNESS_OOD	1.0.0	EXTERNAL_VALIDATION_ROBUSTNESS	Generalization and utility claims must match an explicitly shifted independent validation setting and expose robustness and failure boundaries.	The editor required evidence that the enhancement model could handle real motion artifacts rather than only simulated corruptions.	The authors added 420 in-vivo MR-ART images containing paired motion-free and motion-corrupted scans from the same participants to evaluate real-artifact correction.	Documented same-issue repair: The authors added 420 in-vivo MR-ART images containing paired motion-free and motion-corrupted scans from the same participants to evaluate real-artifact correction.	analysis-or-evidence-added	accept-or-partially-accept|paired_real_artifact_evaluation|report-result|anchor-location	editorial decision p.1, required item 1	author response p.11, Editor Comment 1	Performance on simulated corruption does not establish clinical artifact correction; use paired or otherwise well-controlled real-artifact data for the corresponding claim.	https://static-content.springer.com/esm/art%3A10.1038%2Fs41551-024-01283-7/MediaObjects/41551_2024_1283_MOESM3_ESM.pdf	e3a12bd3668f04ca21e9bb3ff64f5a82b0ed3285a613355cd207c7c9ca1d4d1f
